timestamp,TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,U
1523828639.60096884,21266371,3,78254600,1997,17,0.67,39.841981,-105.2125217,1812.4,0.0780000016093,0.0,-0.108000002801,1
1523828639.80112290,21466525,3,78254800,1997,17,0.67,39.8419806,-105.2125224,1812.56,0.0400000028312,0.0,0.0670000016689,1
1523828640.00119591,21666598,3,78255000,1997,17,0.67,39.8419805,-105.212523,1812.69,0.0580000020564,0.0,-0.00600000005215,1
1523828640.20120192,21866604,3,78255200,1997,17,0.67,39.8419804,-105.2125236,1812.82,0.123000003397,0.0,-0.105000004172,1
1523828640.40134883,22066751,3,78255400,1997,17,0.67,39.8419801,-105.2125243,1812.96,0.0500000007451,0.0,-0.0540000014007,1
1523828640.60117173,22266574,3,78255600,1997,17,0.67,39.8419798,-105.2125249,1813.05,0.0380000025034,0.0,-0.0500000007451,1
1523828640.80133677,22466739,3,78255800,1997,17,0.67,39.8419793,-105.212525,1813.19,0.031000001356,0.0,-0.00400000018999,1
1523828641.00114584,22666548,3,78256000,1997,17,0.67,39.8419786,-105.2125252,1813.3,0.062000002712,0.0,-0.00700000021607,1
1523828641.20120287,22866605,3,78256200,1997,17,0.67,39.841978,-105.2125254,1813.48,0.0270000007004,0.0,-0.015000000596,1
1523828641.40136194,23066764,3,78256400,1997,17,0.67,39.8419775,-105.2125256,1813.6,0.042000003159,0.0,-0.0360000021756,1
1523828641.60118890,23266591,3,78256600,1997,17,0.67,39.8419772,-105.2125259,1813.72,0.0250000003725,0.0,-0.0590000040829,1
1523828641.80138874,23466791,3,78256800,1997,17,0.67,39.8419769,-105.2125263,1813.84,0.015000000596,0.0,-0.0870000049472,1
1523828642.00114775,23666550,3,78257000,1997,17,0.67,39.8419765,-105.2125264,1813.98,0.0630000010133,0.0,-0.116000004113,1
1523828642.20116186,23866564,3,78257200,1997,17,0.67,39.8419761,-105.2125266,1814.14,0.0810000002384,0.0,-0.00400000018999,1
1523828642.40093374,24066336,3,78257400,1997,17,0.67,39.8419758,-105.2125267,1814.26,0.0580000020564,0.0,-0.00400000018999,1
1523828642.60110974,24266512,3,78257600,1997,17,0.67,39.8419754,-105.2125269,1814.4,0.0380000025034,0.0,-0.101000003517,1
1523828642.80104780,24466450,3,78257800,1997,17,0.67,39.8419749,-105.2125269,1814.52,0.0190000012517,0.0,-0.0140000004321,1
1523828643.00114679,24666549,3,78258000,1997,17,0.67,39.8419746,-105.212527,1814.59,0.0360000021756,0.0,-0.0490000024438,1
1523828643.20130587,24866708,3,78258200,1997,17,0.67,39.8419745,-105.2125269,1814.63,0.070000000298,0.0,0.01600000076,1
1523828643.40122294,25066625,3,78258400,1997,17,0.67,39.8419743,-105.2125271,1814.69,0.0250000003725,0.0,0.0810000002384,1
1523828643.60109878,25266501,3,78258600,1997,17,0.67,39.8419739,-105.2125272,1814.74,0.0870000049472,0.0,0.0320000015199,1
